Common eider,Anatidae,Anseriformes,Somateria
Common firecrest,Regulidae,Passeriformes,Regulus
Common goldeneye,Anatidae,Anseriformes,Bucephala
Common grasshopper warbler,Locustellidae,Passeriformes,Locustella
Common greenshank,Scolopacidae,Charadriiformes,Tringa
Common house martin,Hirundinidae,Passeriformes,Delichon
Common kestrel,Falconidae,Falconiformes,Falco
Common kingfisher,Alcedinidae,Coraciiformes,Alcedo
Common linnet,Fringillidae,Passeriformes,Linaria
Common merganser,Anatidae,Anseriformes,Mergus
Common moorhen,Rallidae,Gruiformes,Gallinula
Common myna,Sturnidae,Passeriformes,Acridotheres
Common nightingale,Muscicapidae,Passeriformes,Luscinia
Common pochard,Anatidae,Anseriformes,Aythya
Common quail,Phasianidae,Galliformes,Coturnix
Common redshank,Scolopacidae,Charadriiformes,Tringa
Common redstart,Muscicapidae,Passeriformes,Phoenicurus
Common reed bunting,Emberizidae,Passeriformes,Emberiza
Common ringed plover,Charadriidae,Charadriiformes,Charadrius
Common rock thrush,Muscicapidae,Passeriformes,Monticola
Common rosefinch,Fringillidae,Passeriformes,Carpodacus
Common sandpiper,Scolopacidae,Charadriiformes,Actitis
Common shelduck,Anatidae,Anseriformes,Tadorna
Common snipe,Scolopacidae,Charadriiformes,Gallinago
Common starling,Sturnidae,Passeriformes,Sturnus
Common swift,Apodidae,Apodiformes,Apus
Common tern,Laridae,Charadriiformes,Sterna
Common whitethroat,Sylviidae,Passeriformes,Curruca
Common wood pigeon,Columbidae,Columbiformes,Columba
Corn bunting,Emberizidae,Passeriformes,Emberiza
Corn crake,Rallidae,Gruiformes,Crex
Cory's shearwater,Procellariidae,Procellariiformes,Calonectris
Crab-plover,Dromadidae,Charadriiformes,Dromas
Cream-colored courser,Glareolidae,Charadriiformes,Cursorius
Crested honey buzzard,Accipitridae,Accipitriformes,Pernis
Crested lark,Alaudidae,Passeriformes,Galerida
Cretzschmar's bunting,Emberizidae,Passeriformes,Emberiza
Crowned sandgrouse,Pteroclidae,Columbiformes,Pterocles
Curlew sandpiper,Scolopacidae,Charadriiformes,Calidris
Cyprus warbler,Sylviidae,Passeriformes,Curruca
Cyprus wheatear,Muscicapidae,Passeriformes,Oenanthe
Dalmatian pelican,Pelecanidae,Pelecaniformes,Pelecanus
Dark chanting goshawk,Accipitridae,Accipitriformes,Melierax
Dead Sea sparrow,Passeridae,Passeriformes,Passer
Demoiselle crane,Gruidae,Gruiformes,Grus
Desert finch,Fringillidae,Passeriformes,Rhodospiza
Desert lark,Alaudidae,Passeriformes,Ammomanes
Desert Owl,,,
Desert wheatear,Muscicapidae,Passeriformes,Oenanthe
Diederik cuckoo,Cuculidae,Cuculiformes,Chrysococcyx
Dunlin,Scolopacidae,Charadriiformes,Calidris
Dunn's lark,Alaudidae,Passeriformes,Eremalauda
Dunnock,Prunellidae,Passeriformes,Prunella
Dusky thrush,Turdidae,Passeriformes,Turdus
Dusky warbler,Phylloscopidae,Passeriformes,Phylloscopus
Eastern black-eared wheatear,Muscicapidae,Passeriformes,Oenanthe
Eastern Bonelli's warbler,Phylloscopidae,Passeriformes,Phylloscopus
Eastern imperial eagle,Accipitridae,Accipitriformes,Aquila
Eastern olivaceous warbler,Acrocephalidae,Passeriformes,Iduna
Eastern Orphean warbler,Sylviidae,Passeriformes,Curruca
Eastern subalpine warbler,Sylviidae,Passeriformes,Curruca
Egyptian goose,Anatidae,Anseriformes,Alopochen
Egyptian nightjar,Caprimulgidae,Caprimulgiformes,Caprimulgus
Egyptian vulture,Accipitridae,Accipitriformes,Neophron
Eleonora's falcon,Falconidae,Falconiformes,Falco
Ethiopian swallow,Hirundinidae,Passeriformes,Hirundo
Eurasian bittern,Ardeidae,Pelecaniformes,Botaurus
Eurasian blackcap,Sylviidae,Passeriformes,Sylvia
Eurasian collared dove,Columbidae,Columbiformes,Streptopelia
Eurasian coot,Rallidae,Gruiformes,Fulica
Eurasian crag martin,Hirundinidae,Passeriformes,Ptyonoprogne
Eurasian curlew,Scolopacidae,Charadriiformes,Numenius
Eurasian dotterel,Charadriidae,Charadriiformes,Charadrius
Eurasian eagle-owl,Strigidae,Strigiformes,Bubo
Eurasian golden oriole,Oriolidae,Passeriformes,Oriolus
Eurasian hobby,Falconidae,Falconiformes,Falco
Eurasian hoopoe,Upupidae,Bucerotiformes,Upupa
Eurasian jay,Corvidae,Passeriformes,Garrulus
Eurasian oystercatcher,Haematopodidae,Charadriiformes,Haematopus
Eurasian penduline tit,Remizidae,Passeriformes,Remiz
Eurasian reed warbler,Acrocephalidae,Passeriformes,Acrocephalus
Eurasian scops owl,Strigidae,Strigiformes,Otus
Eurasian siskin,Fringillidae,Passeriformes,Spinus
Eurasian skylark,Alaudidae,Passeriformes,Alauda
Eurasian sparrowhawk,Accipitridae,Accipitriformes,Accipiter
Eurasian spoonbill,Threskiornithidae,Pelecaniformes,Platalea
